Apache Webserver,
Web Server for Ruby-on-rails,
Microsoft IIS,
Tomcat Appserver,
Postgress Database Server,
MySQL Database Server,
Sybase Adaptive Server,
Microsoft SQL Server,
Oracle Database Server,
IBM DB2 Server,
Microsoft DNS,
Bind DNS,
Sendmail Server,
Postfix Mail Server,
Generic Mail Server,
Samba Server,
Windows VNC Remote Access,
VNC Remote Access,
Squid Web Proxy,
Unix NFS Server,
Unix Net-SNMP Service,
Windows SNMP Service,
Microsoft Terminal Server,
Microsoft RPC service,
Microsoft Network Services,
Cisco Secure ACS Auth Server,
Unix LDAP Directory Service,
Spam Assasin (UNIX),
DNS Forwarder,
Snare Windows Event Logging Service,
Snare IIS Event Logging Service,
Windows Telnet Service,
Windows File Replication Service,
NetMeeting Desktop Sharing Service,
Microsoft Internet Naming Service,
Compaq windows management Interface (WMI) service,
HP windows management Interface (WMI) service,
Microsoft Windows World Wide Web Publishing Service,
McAfee Anti-virus service,
McAfee Host Intrusion Protection for Servers,
McAfee Host Intrusion Protection for Desktops,
McAfee Virus-scan Process,
McAfee Virus Scanner Statististics Task,
McAfee Anti-virus Validation Protection Service,
McAfee ePolicy Orchestrator Process,
McAfee ePolicy Orchestrator Server,
McAfee Common Management Agent,
Symantec Endpoint Protection,
TrendMicro Antivirus Manager,
TrendMicro OfficeScan,
Microsoft Telephone API (TAPI) Service,
ProspectHills Phoenix,
Juniper Steel-Belted RADIUS Server,
Unix Syslog Server,
Nagios Server,
Snort IPS,
ProspectHills AccelOps,
Websense Web Security,
Websense Mail Security,
Microsoft Full Text Search Core Indexer,
Microsoft Exchange,
Microsoft WMI,
CommVault Event Manager Service,
McAfee EPO Process,
Windows NFS Server,
Microsoft TCP/IP Services Application,
Microsoft IAS,
VMware VirtualCenter Server,
Cisco Unity Connection,
Cisco Call Manager,
Citrix Presentation Server