incidentType,name,reptDevIpAddr,createDevice,deviceName,deviceType,domainController,count,method
PH_RULE_IMPORTANT_APP_DOWN,Important process down,10.1.0.1,TRUE,automator10Dot1Dot0Dot1,linux,,1,syslog
PH_RULE_NETWORK_PORT_STAY_DOWN,Server Network Low Port Staying Down,10.2.0.1,TRUE,automator10Dot2Dot0Dot1,linux,,1,syslog
PH_RULE_NON_RESPONSIVE_SERVICE_IP,Service Down: No Response to STM,10.4.0.1,,automator10Dot4Dot0Dot1,,,2,syslog
PH_RULE_DEGRADED_SERVICE,Service Degraded-Slow Response to STM,10.3.0.1,,automator10Dot3Dot0Dot1,,,3,syslog
PH_RULE_NON_RESPONSIVE_SERVICE_CONTINUE,Service Staying Down-No Response to STM,10.5.0.1,,automator10Dot5Dot0Dot1,,,4,syslog
PH_RULE_FPC_CHD_HIGH,FPC Current THD high,15.0.1.1,,Automator15Dot0Dot1Dot1,,,2,syslog
PH_RULE_FPC_GROUND_CURR_HIGH,FPC ground current high,15.0.2.1,,Automator15Dot0Dot2Dot1,,,2,syslog
PH_RULE_FPC_VHD_HIGH,FPC Voltage high,15.0.3.1,,Automator15Dot0Dot3Dot1,,,2,syslog
PH_RULE_HVAC_TOO_HUMID,HVAC humidity high,15.0.4.1,,Automator15Dot0Dot4Dot1,,,2,syslog
PH_RULE_HVAC_TOO_DRY,HVAC humidity low,15.0.5.1,,Automator15Dot0Dot5Dot1,,,2,syslog
PH_RULE_HVAC_TOO_HOT,HVAC temp high,15.0.6.1,,Automator15Dot0Dot6Dot1,,,2,syslog
PH_RULE_HVAC_TOO_COLD,HVAC temp low,15.0.7.1,,Automator15Dot0Dot7Dot1,,,2,syslog
PH_RULE_UPS_BATTERY_METRIC_CRIT,UPS Battery Metrics Critical,15.0.8.1,,Automator15Dot0Dot8Dot1,,,2,syslog
PH_RULE_UPS_BATTERY_STAT_CRIT,UPS Battery Status Critical,15.0.9.1,,Automator15Dot0Dot9Dot1,,,1,syslog
PH_RULE_BGP_NBR_DOWN,BGP Neighbor Down,12.9.0.1,,,,,1,syslog
PH_RULE_NET_HW_CRITICAL,Network Device Hardware Critical,12.4.0.1,TRUE,automator12Dot4Dot0Dot1,cisco,,1,syslog
PH_RULE_NET_HW_WARN,Network Device Hardware Warning,12.5.0.1,TRUE,automator12Dot5Dot0Dot1,cisco,,1,syslog
PH_RULE_ICMP_UNREACH_SAME_HOSTS,Excessive ICMP Unreachable (NetFlow),$localhost,,,,,1,netflow
PH_RULE_INTF_DUPLEX_MISMATCH,Network Device Interface Duplex Mismatch,12.8.0.1,TRUE,automator12Dot8Dot0Dot1,cisco,,6,syslog
PH_RULE_INTF_FLAP_NET_DEV,Network Device Interface Flapping,12.6.0.1,TRUE,automator12Dot6Dot0Dot1,cisco,,3,syslog
PH_RULE_DOWN_INTF_NET,Network Device Interface Staying Down,12.7.0.1,TRUE,automator12Dot7Dot0Dot1,cisco,,1,syslog
PH_RULE_DEGRADED_PING_NET_DEV,Network Device Degraded-Lossy Ping Response,12.2.0.1,TRUE,automator12Dot2Dot0Dot1,cisco,,1,syslog
PH_RULE_NON_RESPONSIVE_NET_DEV,Network Device Down-no ping response,12.3.0.1,TRUE,automator12Dot3Dot0Dot1,cisco,,1,syslog
PH_RULE_OSPF_NBR_DOWN,OSPF Neighbor Down,12.10.0.1,,,,,1,syslog
PH_RULE_EIGRP_NBR_DOWN,EIGRP Neighbor Down,12.9.0.2,,,,,1,syslog
PH_RULE_RV_CALL_PROBLEMS,Radvision call setup issues,$localhost,,,,,1,syslog
PH_RULE_RV_CORRUPT_VIDEO,Radvision Corrupt video packets,$localhost,,,,,1,syslog
PH_RULE_RV_ETHERNET_DOWN,Radvision Ethernet Loss,$localhost,,,,,1,syslog
PH_RULE_RV_DOWN,Radvision Gateway Down,$localhost,,,,,1,syslog
PH_RULE_RV_HW_REMOVE,Radvision Hardware Removed,$localhost,,,,,1,syslog
PH_RULE_RV_ISDN_DOWN,Radvision ISDN Loss,$localhost,,,,,1,syslog
PH_RULE_SERVER_HW_CRITICAL,Server Hardware Critical,11.3.0.1,TRUE,automator11Dot3Dot0Dot1,linux,,1,syslog
PH_RULE_SERVER_HW_WARN,Server Hardware Warning,11.4.0.1,TRUE,automator11Dot4Dot0Dot1,linux,,1,syslog
PH_RULE_DEGRADED_PING_SERVER,Server Degraded: Lossy Ping Response,11.2.0.1,TRUE,automator11Dot2Dot0Dot1,linux,,1,syslog
PH_RULE_NON_RESPONSIVE_SERVER,Server Down: No Ping Response,11.1.0.1,TRUE,automator11Dot1Dot0Dot1,linux,,1,syslog
PH_RULE_ACCELOPS_HIGH_EPS,System License Warning: High Event Rate,13.4.0.1,,,,,1,syslog
PH_RULE_ACCELOPS_MAX_DEVICE_EXCEEDED,System License Warning: Max Number of Devices Exceeded License,$localhost,,,,,1,syslog
PH_RULE_ACCELOPS_LOW_STORAGE,System Warning: Low Storage,13.4.0.2,,,,,1,syslog
PH_RULE_DIFF_STARTUP_RUNNING_CONFIG,Difference in Running and Startup Config,5.1.0.1,TRUE,automator5Dot1Dot0Dot1,cisco,,1,syslog
PH_RULE_CHANGE_RUN_CONFIG,Running Config Change,5.2.0.1,,automator5Dot2Dot0Dot1,,,1,syslog
PH_RULE_CHANGE_STARTUP_CONFIG,Startup Config Change,5.4.0.1,,automator5Dot4Dot0Dot1,,,1,syslog
PH_RULE_CHANGE_DC_USER_GRP,Domain Controller User and Group Modification,4.1.0.1,TRUE,automator4Dot1Dot0Dot1,win,TRUE,1,syslog
PH_RULE_LINUX_FILE_CHANGE,Linux file change,$localhost,,,,,1,syslog
PH_RULE_CHANGE_INST_SW,Server Installed Software Change,4.1.0.1,,automator4Dot1Dot0Dot1,,,1,syslog
PH_RULE_EXCH_MBOX_QUEUE_CRIT,Exchange Server Mailbox Queue high,7.3.0.1,,automator7Dot3Dot0Dot1,,,2,syslog
PH_RULE_EXCH_RPC_LATENCY_CRIT,Exchange Server RPC latency high,7.4.0.1,,automator7Dot4Dot0Dot1,,,2,syslog
PH_RULE_EXCH_RPC_REQ_CRIT,Exchange Server RPC request high,7.5.0.1,,automator7Dot5Dot0Dot1,,,2,syslog
PH_RULE_POOR_VOIP_MOS,Poor VoIP Call Quality,7.2.0.1,,automator7Dot2Dot0Dot1,,,2,syslog
PH_RULE_DEGRADED_VOIP_MOS,Degraded VoIP Call Quality,7.1.0.1,,automator7Dot1Dot0Dot1,,,2,syslog
PH_RULE_NET_CPU_CRIT,Network CPU Critical,9.3.0.1,TRUE,automator9Dot3Dot0Dot1,cisco,,2,syslog
PH_RULE_NET_CPU_WARN,Network CPU Warning,9.4.0.1,TRUE,automator9Dot4Dot0Dot1,cisco,,2,syslog
PH_RULE_HIGH_CPU_APPL_NET_DEV,High Process CPU:Nework Device,9.1.0.1,TRUE,automator9Dot1Dot0Dot1,cisco,,3,syslog
PH_RULE_HIGH_MEM_APPL_NET_DEV,High Process Memory:Nework Device,9.2.0.1,TRUE,automator9Dot2Dot0Dot1,cisco,,3,syslog
PH_RULE_NET_INTF_ERR_CRIT,Network Intf Error Critical,9.5.0.1,TRUE,automator9Dot5Dot0Dot1,cisco,,2,syslog
PH_RULE_NET_INTF_ERR_WARN,Network Intf Error Warning,9.6.0.1,TRUE,automator9Dot6Dot0Dot1,cisco,,2,syslog
PH_RULE_NET_INTF_UTIL_WARN,Network Intf Util Warning,9.8.0.1,TRUE,automator9Dot8Dot0Dot1,cisco,,2,syslog
PH_RULE_IPS_NET_INTF_UTIL_CRIT,Network IPS Intf Util Critical,9.9.0.1,TRUE,automator9Dot9Dot0Dot1,fortinet,,2,syslog
PH_RULE_IPS_NET_INTF_UTIL_WARN,Network IPS Intf Util Warning,9.10.0.1,TRUE,automator9Dot10Dot0Dot1,fortinet,,2,syslog
PH_RULE_NET_MEM_CRIT,Network Memory Critical,9.11.0.1,TRUE,automator9Dot11Dot0Dot1,cisco,,2,syslog
PH_RULE_NET_MEM_WARN,Network Memory Warning,9.12.0.1,TRUE,automator9Dot12Dot0Dot1,cisco,,2,syslog
PH_RULE_SERVER_CPU_CRIT,Server CPU Critical,8.13.0.1,TRUE,automator8Dot13Dot0Dot1,linux,,2,syslog
PH_RULE_SERVER_CPU_WARN,Server CPU Warning,8.14.0.1,TRUE,automator8Dot14Dot0Dot1,linux,,2,syslog
PH_RULE_NET_INTF_UTIL_CRIT,Network Intf Util Critical,9.7.0.1,TRUE,automator9Dot7Dot0Dot1,juniper-ssg,,2,syslog
PH_RULE_SERVER_DISK_SPACE_CRIT,Server Disk Space Critical,8.15.0.1,TRUE,automator8Dot15Dot0Dot1,linux,,2,syslog
PH_RULE_SERVER_DISK_SPACE_WARN,Server Disk Space Warning,8.16.0.1,TRUE,automator8Dot16Dot0Dot1,linux,,2,syslog
PH_RULE_ESX_CPU_CRIT,ESX CPU Critical,8.1.0.1,TRUE,automator8Dot1Dot0Dot1,esx,,2,syslog
PH_RULE_ESX_CPU_WARN,ESX CPU Warning,8.2.0.1,TRUE,automator8Dot2Dot0Dot1,esx,,2,syslog
PH_RULE_ESX_DISKIO_CRIT,ESX Disk IO Critical,8.3.0.1,TRUE,automator8Dot3Dot0Dot1,esx,,2,syslog
PH_RULE_ESX_DISKIO_WARN,ESX Disk IO Warning,8.4.0.1,TRUE,automator8Dot4Dot0Dot1,esx,,2,syslog
PH_RULE_ESX_MEM_CRIT,ESX Memory Critical,8.5.0.1,TRUE,automator8Dot5Dot0Dot1,esx,,2,syslog
PH_RULE_ESX_MEM_WARN,ESX Memory Warning,8.6.0.1,TRUE,automator8Dot6Dot0Dot1,esx,,2,syslog
PH_RULE_ESX_INTF_CRIT,ESX Network IO Critical,8.7.0.1,TRUE,automator8Dot7Dot0Dot1,esx,,2,syslog
PH_RULE_ESX_INTF_WARN,ESX Network IO Warning,8.8.0.1,TRUE,automator8Dot8Dot0Dot1,esx,,2,syslog
PH_RULE_HIGH_CPU_APPL_SERVER,High Process CPU:Server,8.11.0.1,TRUE,automator8Dot11Dot0Dot1,linux,,3,syslog
PH_RULE_HIGH_MEM_APPL_SERVER,High Process Memory:Server,8.12.0.1,TRUE,automator8Dot12Dot0Dot1,linux,,3,syslog
PH_RULE_SERVER_INTF_ERR_CRIT,Server Intf Error Critical,8.17.0.1,TRUE,automator8Dot17Dot0Dot1,linux,,2,syslog
PH_RULE_SERVER_INTF_ERR_WARN,Server Intf Error Warning,8.18.0.1,TRUE,automator8Dot18Dot0Dot1,linux,,2,syslog
PH_RULE_SERVER_INTF_UTIL_CRIT,Server Intf Util Critical,8.7.0.1,,automator8Dot7Dot0Dot1,,,2,syslog
PH_RULE_SERVER_INTF_UTIL_WARN,Server Intf Util Warning,8.8.0.1,,automator8Dot8Dot0Dot1,,,2,syslog
PH_RULE_SERVER_MEM_CRIT,Server Memory Critical,8.21.0.1,TRUE,automator8Dot21Dot0Dot1,linux,,2,syslog
PH_RULE_SERVER_MEM_WARN,Server Memory Warning,8.22.0.1,TRUE,automator8Dot22Dot0Dot1,linux,,2,syslog
PH_RULE_STAT_HIGH_PROC_COUNT,Server Process Count Anomaly,8.23.0.1,TRUE,automator8Dot23Dot0Dot1,linux,,3,syslog
PH_RULE_SWAP_MEM_CRIT,Server Swap Memory Critical,8.34.0.1,TRUE,automator8Dot34Dot0Dot1,linux,,3,syslog
PH_RULE_VM_CPU_CRIT,Virtual Machine CPU Critical,8.26.0.1,,automator8Dot26Dot0Dot1,,,2,syslog
PH_RULE_VM_CPU_WARN,Virtual Machine CPU Warning,8.27.0.1,,automator8Dot27Dot0Dot1,,,2,syslog
PH_RULE_VM_MEM_CRIT,Virtual Machine Memory Critical,8.30.0.1,,automator8Dot30Dot0Dot1,,,2,syslog
PH_RULE_VM_MEM_WARN,Virtual Machine Memory Warning,8.31.0.1,,automator8Dot31Dot0Dot1,,,2,syslog
PH_RULE_EXCESS_FAILED_LOGON_DB,Multiple Logon Failures: Database,3.4.1.1,,,,,5,syslog
PH_RULE_EXCESS_FAILED_LOGON_APPL,Multiple Logon Failures: Misc App,3.4.2.1,,,,,5,syslog
PH_RULE_EXCESS_FAILED_LOGON_WEB,Multiple Logon Failures: Web Server,3.4.3.1,,,,,5,syslog
PH_RULE_ACCOUNT_LOCKOUT_NET_DEV,Network Device Account Lockout,3.2.3.1,TRUE,automator3Dot2Dot3Dot1,fortinet,,1,syslog
PH_RULE_EXCESS_FAILED_LOGON_NET_DEV,Multiple Admin Logon Failures: Net Device (no Source IP),3.2.1.1,TRUE,automator3Dot2Dot1Dot1,cisco,,5,syslog
PH_RULE_EXCESS_FAILED_LOGON_2_NET_DEV,Multiple Admin Logon Failures: Net Device,3.2.2.1,TRUE,automator3Dot2Dot2Dot1,juniper_secure_access,,5,syslog
PH_RULE_ACCOUNT_LOCKOUT_DOMAIN,Domain Account Lockout,3.1.1.1,TRUE,automator3Dot1Dot1Dot1,win,1,1,syslog
PH_RULE_EXCESS_FAILED_LOGON_DOMAIN,Multiple Logon Failures: Domain,3.1.2.1,TRUE,automator3Dot1Dot2Dot1,win,1,5,syslog
PH_RULE_EXCESS_FAILED_LOGON_VPN,Multiple Logon Failures: VPN,3.1.3.1,,,,,5,syslog
PH_RULE_EXCESS_FAILED_LOGON_WIRELESS,Multiple Logon Failures: WLAN,$localhost,,,,,5,syslog
PH_RULE_FAILED_LOGON_MULTIPLE_ACCOUNTS,Multiple Logon Failures: Same Src and Dest and Multiple Accounts,$localhost,,,,,1,syslog
PH_RULE_FAILED_LOGON_MULTIPLE_HOSTS,Multiple Logon Failures: Same Src and Multiple Dest,$localhost,,,,,1,syslog
PH_RULE_ACCOUNT_LOCKOUT_SERVER,Server Account Lockout,3.3.5.1,TRUE,automator3Dot3Dot5Dot1,win,,1,syslog
PH_RULE_DISABLED_ACCOUNT_ACCESS,Disabled Account Logon Attempt,3.3.1.1,,automator3Dot3Dot1Dot1,,,3,syslog
PH_RULE_LOGON_TIME_VIOLATION,Logon Time Restriction Violation,3.3.2.1,,automator3Dot3Dot1Dot1,,,3,syslog
PH_RULE_EXCESS_FAILED_LOGON_SERVER,Multiple Logon Failures: Server,3.3.3.1,TRUE,automator3Dot3Dot3Dot1,win,,5,syslog
PH_RULE_EXCESS_FAILED_PRIV_LOGON_SERVER,Multiple Privileged Logon Failures: Server,3.3.4.1,TRUE,automator3Dot3Dot4Dot1,linux,,3,syslog
PH_RULE_BOTNET_LIKELY,Suspicious Botnet like End host DNS Behavior,$localhost,,,,,1,syslog
PH_RULE_EXCESS_DENY_DEST,Excessive Denied Connections To Same Destination,$localhost,,,,,105,syslog
PH_RULE_EXCESS_DENY_SRC,Excessive Denied Connections From Same Src,$localhost,,,,,105,syslog
PH_RULE_EXCESS_DENY_DNS_QUERY,Excessive Denied DNS Queries,$localhost,,,,,105,syslog
PH_RULE_EXCESS_DENY_MAIL,Excessive Denied End User Mail To Unauthorized Mail Gateways,2.5.0.1,,,,,6,syslog
PH_RULE_EXCESS_DNS_QUERY,Excessive End User DNS Queries,2.6.1.1,FALSE,automatorBindDNS,Bind_dns,,500,syslog
PH_RULE_EXCESS_FTP_CLIENT_ERR,Excessive FTP Client Side Errors,2.8.0.1,,,,,6,syslog
PH_RULE_HIGH_RR_IPS,High Risk Rating Cisco IPS Exploit,2.16.0.2,TRUE,ciscoIPS,cisco_ips,,1,syslog
PH_RULE_HIGH_SEV_IPS,High Severity IPS Exploit,2.14.0.1,TRUE,Automator2Dot14Dot0Dot1,snort_ips,,1,syslog
PH_RULE_HIGH_SEV_SEC_NONIPS,High Severity Security Exploit,2.15.0.1,,,,,1,syslog
PH_RULE_EXCESS_HTTP_CLIENT_ERR,Excessive HTTP Client Side Errors,2.9.1.1,,,,,6,syslog
PH_RULE_LARGE_ICMP_ECHO,Unusually Large ICMP Echo Packets,$localhost,,,,,22,netflow
PH_RULE_BAD_DOMAIN_DNS_QUERY,Excessive Malware Domain Name Queries,2.10.1.1,,,,,1,syslog
PH_RULE_MULTIPLE_IPS_SAME_SRC,Multiple Distinct IPS Events From Same Src,2.16.0.1,TRUE,snortIPS,snort_ips,,2,syslog
PH_RULE_SCAN_IPS_SAME_SRC,Multiple IPS Scans From Same Src,2.16.0.2,TRUE,ciscoIPS,cisco_ips,,1,syslog
PH_RULE_HEAVY_ICMP_PING_SWEEP,Heavy ICMP Ping Sweep,2.16.0.3,,,,,52,syslog
PH_RULE_DNS_QUERY_SAME_DOMAIN,Excessive Repeated DNS Queries To Same Domain,2.11.1.1,,,,,105,syslog
PH_RULE_HEAVY_TCP_HOST_SCAN,Heavy TCP Host Scan,2.11.1.5,,,,,210,syslog
PH_RULE_HEAVY_TCP_HOST_SCAN_FIXED_PORT,Heavy TCP Host Scan On Fixed Port,2.11.1.2,,,,,105,syslog
PH_RULE_HEAVY_TCP_PORT_SCAN,Heavy TCP Host Scan: Single Host,2.11.1.6,,,,,22,syslog
PH_RULE_HEAVY_UDP_HOST_SCAN,Heavy UDP Host Scan,2.11.1.3,,,,,210,syslog
PH_RULE_HEAVY_UDP_HOST_SCAN_FIXED_PORT,Heavy UDP Host Scan Fixed Port,2.11.1.4,,,,,105,syslog
PH_RULE_HEAVY_UDP_PORT_SCAN,Heavy UDP Port Scan: Single Host,2.11.1.7,,,,,22,syslog
PH_RULE_REPEAT_HEAVY_TCP_PORT_SCAN,Heavy TCP Host Scan: Multiple Host,$localhost,,,,,32,syslog
PH_RULE_REPEAT_HEAVY_UDP_PORT_SCAN,Heavy UDP Host Scan: Multiple Host,$localhost,,,,,32,syslog
PH_RULE_TCP_DDOS_ATTACK,TCP DDOS Attack,2.11.1.8,,,,,210,syslog
PH_RULE_STAT_HIGH_TRAFFIC_FROM_SRC_FIXED_PORT,Traffic Anomaly from Host On Fixed Port,$localhost,,,,,22,netflow
PH_RULE_STAT_HIGH_TRAFFIC_SRC_DEST_FIXED_PORT,Traffic Anomaly Between Two Hosts On Fixed Port,$localhost,,,,,22,netflow
PH_RULE_UNAUTH_DNS_QUERY,End User DNS Queries to Unauthorized DNS Servers,2.1.0.1,,,,,11,syslog
